,body_shape,colour,condition,displacement,fuel,has_mfk,performance,price,curb_weight,registration_age,mileage,brand
5295,Chopper,schwarz,Neu,1745.0,Benzin,True,87.0,22100,391.0,0,15.0,Harley-davidson
5296,Chopper,rot,Occasion,1745.0,Benzin,True,87.0,19790,391.0,18,1320.0,Harley-davidson
5297,Chopper,braun,Neu,1745.0,Benzin,True,87.0,31400,391.0,0,15.0,Harley-davidson
5298,Chopper,blau,Occasion,1647.0,Benzin,True,87.0,48950,371.0,29,2000.0,Harley-davidson
5299,Chopper,gold,Vorführmodell,1689.0,Benzin,True,75.0,19900,400.0,32,7700.0,Harley-davidson
5300,Chopper,schwarz,Neu,1867.0,Benzin,True,91.0,28400,378.0,0,1.0,Harley-davidson
5301,Chopper,schwarz,Occasion,1337.0,Benzin,False,48.0,22800,305.0,320,27000.0,Harley-davidson
5302,Chopper,grün,Occasion,1801.0,Benzin,True,92.0,18000,393.0,31,2500.0,Harley-davidson
5303,Chopper,rot,Occasion,1689.0,Benzin,False,75.0,16900,399.0,77,7020.0,Harley-davidson
5304,Chopper,schwarz,Occasion,1338.0,Benzin,False,56.0,17500,375.0,293,15590.0,Harley-davidson
5305,Strasse,schwarz,Occasion,1198.0,Benzin,False,154.0,11590,308.0,89,22400.0,Ducati
5306,Strasse,schwarz,Occasion,748.0,Benzin,False,106.0,6600,293.0,77,7000.0,Kawasaki
5307,Strasse,grau,Occasion,295.0,Benzin,False,39.0,7950,243.0,12,1.0,Kawasaki
5308,Chopper,blau,Occasion,903.0,Benzin,False,50.0,5550,353.0,141,4106.0,Kawasaki
5309,Chopper,schwarz,Occasion,805.0,Benzin,False,57.0,9900,342.0,249,27250.0,Kawasaki
5310,Chopper,silber,Neu,1699.0,Benzin,True,73.0,23200,469.0,0,1.0,Kawasaki
5311,Strasse,grün,Occasion,649.0,Benzin,False,34.0,4850,284.0,139,19000.0,Kawasaki
5312,Enduro,grün matt.,Neu,295.0,Benzin,False,39.0,6500,289.0,0,1.0,Kawasaki
